Campaign,Ad group,Ad ID,Week,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions,Cost
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Excellent,34,14.17%,7.35%,240,35.83%,77.5%,฿258.46,7.35%,0,0,2.5,฿646.14
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Excellent,45,14.29%,4.44%,315,22.86%,73.33%,฿437.85,4.44%,0,0,2,฿875.7
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Excellent,8,9.52%,0%,84,16.67%,75%,฿0,0%,0,0,0,฿187.36
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Excellent,40,13.99%,10%,286,21.33%,70.98%,฿171.84,10%,0,0,4,฿687.38
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Excellent,35,10.14%,14.29%,345,14.78%,65.22%,฿110.16,14.29%,0,0,5,฿550.8
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Excellent,29,11.03%,0%,263,20.15%,69.2%,฿0,0%,0,0,0,฿607.72
โรงพิมพ์,กลุ่มโฆษณา ซองเอกสาร,721927266381,"Nov 18, 2024 to Nov 24, 2024 (Week 47)",Good,6,7.79%,41.67%,77,27.27%,64.94%,฿60.86,41.67%,0,0,2.5,฿152.14
โรงพิมพ์,กลุ่มโฆษณา ซองเอกสาร,721927266381,"Nov 25, 2024 to Dec 1, 2024 (Week 48)",Good,11,12.09%,9.09%,91,30.77%,75.82%,฿156.17,9.09%,0,0,1,฿156.17
โรงพิมพ์,กลุ่มโฆษณา ซองเอกสาร,721927266381,"Dec 2, 2024 to Dec 8, 2024 (Week 49)",Good,5,23.81%,0%,21,28.57%,66.67%,฿0,0%,0,0,0,฿114.81
โรงพิมพ์,กลุ่มโฆษณา ซองเอกสาร,721927266381,"Dec 9, 2024 to Dec 15, 2024 (Week 50)",Good,7,8.24%,0%,85,21.18%,58.82%,฿0,0%,0,0,0,฿101.73
โรงพิมพ์,กลุ่มโฆษณา ซองเอกสาร,721927266381,"Dec 16, 2024 to Dec 22, 2024 (Week 51)",Good,6,5.77%,0%,104,21.15%,59.62%,฿0,0%,0,0,0,฿113.47
โรงพิมพ์,กลุ่มโฆษณา ซองเอกสาร,721927266381,"Dec 23, 2024 to Dec 29, 2024 (Week 52)",Good,4,6.56%,0%,61,19.67%,68.85%,฿0,0%,0,0,0,฿88.61
