Campaign,Ad group,Ad ID,Day,Ad strength,Clicks,CTR,Conv. rate,Impressions,Impression (Absolute Top) %,Impression (Top) %,Cost / conv.,Click conversion rate,Cross-device conv.,Engagements,Conversions
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 19, 2024",Excellent,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 20, 2024",Excellent,15,16.48%,10%,91,35.16%,76.92%,฿211.46,10%,0,0,1.5
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 21, 2024",Excellent,9,14.52%,11.11%,62,41.94%,77.42%,฿157.08,11.11%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 22, 2024",Excellent,5,9.43%,0%,53,24.53%,73.58%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 23, 2024",Excellent,5,14.71%,0%,34,44.12%,85.29%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 24, 2024",Excellent,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 25, 2024",Excellent,14,18.42%,0%,76,30.26%,78.95%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 26, 2024",Excellent,7,12.96%,0%,54,25.93%,74.07%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 27, 2024",Excellent,12,20%,8.33%,60,16.67%,76.67%,฿175.27,8.33%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 28, 2024",Excellent,2,3.85%,0%,52,23.08%,67.31%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 29, 2024",Excellent,8,13.56%,12.5%,59,8.47%,67.8%,฿103.47,12.5%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Nov 30, 2024",Excellent,2,14.29%,0%,14,57.14%,71.43%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 5, 2024",Excellent,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 6, 2024",Excellent,5,7.94%,0%,63,14.29%,74.6%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 7, 2024",Excellent,3,14.29%,0%,21,23.81%,76.19%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 8, 2024",Excellent,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 9, 2024",Excellent,7,16.28%,14.29%,43,30.23%,76.74%,฿113.83,14.29%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 10, 2024",Excellent,10,18.18%,0%,55,20%,70.91%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 11, 2024",Excellent,5,7.14%,20%,70,15.71%,67.14%,฿55.39,20%,0,0,1
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 12, 2024",Excellent,8,18.6%,25%,43,18.6%,79.07%,฿72.98,25%,0,0,2
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 13, 2024",Excellent,4,8.16%,0%,49,14.29%,71.43%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 14, 2024",Excellent,6,23.08%,0%,26,42.31%,57.69%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 15, 2024",Excellent,0,0%,0%,0,0%,0%,฿0,0%,0,0,0
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 16, 2024",Excellent,13,20.63%,15.38%,63,25.4%,77.78%,฿99.13,15.38%,0,0,2
โรงพิมพ์,กลุ่มโฆษณา  ซองจดหมาย,721921421400,"Dec 17, 2024",Excellent,9,11.25%,11.11%,80,10%,56.25%,฿135.49,11.11%,0,0,1
